LLM_Model,All,atomic_dataset_textonly,electro_dataset_textonly,mechanics_dataset_textonly,optics_dataset_textonly,quantum_dataset_textonly,statistics_dataset_textonly
Mistral_Small_24B_Instruct_2501_output,0.1381691691691692,0.168,0.159,0.118,0.111,0.088,0.168
gemma_2_9b_it_output,0.10578678678678678,0.123,0.076,0.075,0.121,0.108,0.125
Qwen2.5_14B_Instruct_output,0.208980980980981,0.254,0.23,0.165,0.129,0.154,0.268
Qwen2.5_Math_7B_output,0.012631631631631631,0.019,0.019,0.001,0.023,0.005,0.012
gemma_2_27b_it_output,0.14407707707707706,0.166,0.129,0.12,0.125,0.134,0.17
glm_4_9b_chat_hf_output,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mistral_7B_Instruct_v0.3_output,0.08234934934934934,0.104,0.065,0.038,0.083,0.081,0.106
Qwen2.5_Math_1.5B_Instruct_output,0.160987987987988,0.148,0.143,0.157,0.144,0.166,0.192
deepseek_math_7b_rl_output,0.005066066066066066,0.005,0.006,0.0,0.022,0.0,0.005
Qwen2.5_Math_72B_Instruct_output,0.21593193193193194,0.228,0.174,0.179,0.253,0.196,0.265
Llama_3.1_8B_Instruct_output,0.08146646646646646,0.091,0.094,0.053,0.091,0.051,0.106
Llama_3.3_70B_Instruct_AWQ_output,0.24143843843843843,0.257,0.218,0.18,0.194,0.26,0.288
Qwen2.5_7B_Instruct_output,0.11351551551551553,0.16,0.129,0.046,0.138,0.081,0.123
gemma_2_2b_it_output,0.06086786786786785,0.061,0.059,0.041,0.081,0.041,0.085
internlm3_8b_instruct_awq_output,0.03999699699699699,0.037,0.035,0.034,0.022,0.032,0.066
Mathstral_7B_v0.1_output,0.07707507507507508,0.08,0.059,0.071,0.089,0.06,0.104
Qwen2.5_32B_Instruct_output,0.15810210210210213,0.182,0.155,0.109,0.167,0.118,0.205
Velvet_14B_outputs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yi_1.5_34B_Chat_output,0.1295965965965966,0.119,0.1,0.117,0.145,0.145,0.149
